mturkID,experimentGroup,study,videoTreatment,ctaTreatment,video,vidEmotionHappyChar,vidEmotionHappyNum,vidEmotionSadChar,vidEmotionSadNum,vidEmotionInterestedChar,vidEmotionInterestedNum,vidEmotionInspiredChar,vidEmotionInspiredNum,vidEmotionAngryChar,vidEmotionAngryNum,vidEmotionGuiltyChar,vidEmotionGuiltyNum,vidEmotionDisgustedChar,vidEmotionDisgustedNum,female,ageCont,ageGroup,meatConsumpChar,meatConsumpNum,meatConsumpReduce,meatConsumpIncrease,meatConsumpEliminate,meatConsumpEliminateGreatlyDecrease,attitude1Char,attitude1Num,attitude1Binary,attitude2Char,attitude2Num,attitude2Binary,attitude3Char,attitude3Num,attitude3Binary,attitude4Char,attitude4Num,attitude4Binary,attitude5Char,attitude5Num,attitude5Binary,attitude6Char,attitude6Num,attitude6Binary,vsgBinary,vegetarianSelfReport,attitude1Num.std,attitude2Num.std,attitude3Num.std,attitude4Num.std,attitude5Num.std,attitude6Num.std,vsgBinary.std,meatConsumpReduce.std,combinedFoodAttitudes.std,combinedAnimalAttitudes.std,combinedAllAttitudes.std,combinedOutcome1.std,combinedOutcome2.std,combinedOutcome3.std
1,bennyCTA4,part2,cruel,noCta,benny,slightlyNotAtAll,1,slightlyNotAtAll,1,slightlyNotAtAll,1,slightlyNotAtAll,1,slightlyNotAtAll,1,slightlyNotAtAll,1,aLittle,2,0,22,22to25,maintain,4,0,0,0,0,agree,4,1,agree,4,1,neutral,3,0,disagree,2,0,neutral,3,0,agree,4,1,0,NA,0.315647196,0.61042928,-0.586843507,-0.996988573,-0.421299207,-0.592500882,-0.569360532,-0.581860568,-0.3244676,-0.232717631,-0.278592615,-0.352847099,-0.427101583,-0.476604572
2,choiceYoursCTA4,part1,compare,noCta,choiceYours,slightlyNotAtAll,1,extremely,5,aLittle,2,slightlyNotAtAll,1,extremely,5,slightlyNotAtAll,1,extremely,5,1,28,26to30,eliminate,1,1,0,1,1,stronglyAgree,5,1,agree,4,1,stronglyAgree,5,1,agree,4,1,stronglyAgree,5,1,stronglyAgree,5,1,0,NA,1.318040319,0.61042928,1.372584911,0.722874931,1.449935243,0.850255503,-0.569360532,1.717958921,0.901963041,1.206077022,1.054020031,0.934089822,0.814159613,0.73420614
3,babyAnimalsCTA4,part1,cute,noCta,babyAnimals,extremely,5,slightlyNotAtAll,1,extremely,5,extremely,5,slightlyNotAtAll,1,slightlyNotAtAll,1,slightlyNotAtAll,1,1,38,36to40,maintain,4,0,0,0,0,stronglyAgree,5,1,neutral,3,0,stronglyAgree,5,1,agree,4,1,stronglyAgree,5,1,stronglyAgree,5,1,1,NA,1.318040319,-0.362418864,1.372584911,0.722874931,1.449935243,0.850255503,1.755677982,-0.581860568,0.577680326,1.206077022,0.891878674,0.815636182,0.73939369,0.688565363
4,sleepyAnimalsCTA2,part2,cute,cta2,sleepyAnimals,extremely,5,slightlyNotAtAll,1,quiteAbit,4,moderately,3,slightlyNotAtAll,1,slightlyNotAtAll,1,slightlyNotAtAll,1,1,52,51orOlder,maintain,4,0,0,0,0,agree,4,1,disagree,2,0,agree,4,1,neutral,3,0,neutral,3,0,agree,4,1,0,NA,0.315647196,-1.335267007,0.392870702,-0.137056821,-0.421299207,-0.592500882,-0.569360532,-0.581860568,-0.359817709,-0.232717631,-0.29626767,-0.36610339,-0.43593911,-0.482496257
5,sleepyAnimalsCTA2,part1,cute,cta2,sleepyAnimals,extremely,5,slightlyNotAtAll,1,moderately,3,moderately,3,slightlyNotAtAll,1,slightlyNotAtAll,1,slightlyNotAtAll,1,1,31,31to35,maintain,4,0,0,0,0,stronglyAgree,5,1,neutral,3,0,agree,4,1,neutral,3,0,stronglyAgree,5,1,stronglyAgree,5,1,1,NA,1.318040319,-0.362418864,0.392870702,-0.137056821,1.449935243,0.850255503,1.755677982,-0.581860568,-0.035534994,1.206077022,0.585271014,0.585680437,0.58608986,0.586362809
6,bennyCTA3,part2,cruel,cta3,benny,slightlyNotAtAll,1,quiteAbit,4,aLittle,2,slightlyNotAtAll,1,quiteAbit,4,slightlyNotAtAll,1,extremely,5,1,36,36to40,maintain,4,0,0,0,0,agree,4,1,agree,4,1,agree,4,1,agree,4,1,agree,4,1,agree,4,1,0,NA,0.315647196,0.61042928,0.392870702,0.722874931,0.514318018,-0.592500882,-0.569360532,-0.581860568,0.575391638,0.079154777,0.327273207,0.101552268,-0.124168671,-0.274649298
7,controlCTA2,part2,control,cta2,control,moderately,3,slightlyNotAtAll,1,moderately,3,aLittle,2,slightlyNotAtAll,1,slightlyNotAtAll,1,slightlyNotAtAll,1,0,40,36to40,maintain,4,0,0,0,0,agree,4,1,disagree,2,0,disagree,2,0,neutral,3,0,agree,4,1,agree,4,1,1,NA,0.315647196,-1.335267007,-1.566557716,-0.137056821,0.514318018,-0.592500882,1.755677982,-0.581860568,-1.012960515,0.079154777,-0.466902869,-0.203449975,0.060002919,0.235638182
8,happyFreeCTA4,part2,compare,noCta,happyFree,slightlyNotAtAll,1,slightlyNotAtAll,1,moderately,3,aLittle,2,aLittle,2,moderately,3,aLittle,2,0,27,26to30,maintain,4,0,0,0,0,neutral,3,0,neutral,3,0,neutral,3,0,agree,4,1,neutral,3,0,neutral,3,0,0,NA,-0.686745927,-0.362418864,-0.586843507,0.722874931,-0.421299207,-2.035257267,-0.569360532,-0.581860568,-0.07546248,-1.047767467,-0.561614973,-0.565113868,-0.568612762,-0.570945358
9,loseAppetiteCTA2,part2,cruel,cta2,loseAppetite,slightlyNotAtAll,1,extremely,5,moderately,3,aLittle,2,quiteAbit,4,quiteAbit,4,extremely,5,0,26,26to30,maintain,4,0,0,0,0,agree,4,1,agree,4,1,disagree,2,0,neutral,3,0,agree,4,1,stronglyAgree,5,1,0,NA,0.315647196,0.61042928,-1.566557716,-0.137056821,0.514318018,0.850255503,-0.569360532,-0.581860568,-0.364395086,0.560073572,0.097839243,-0.070523205,-0.238885653,-0.351127286
10,stuffEatCTA3,part2,lifestyle,cta3,stuffEat,extremely,5,slightlyNotAtAll,1,extremely,5,extremely,5,slightlyNotAtAll,1,slightlyNotAtAll,1,slightlyNotAtAll,1,1,31,31to35,greatlyIncrease,6,0,1,0,0,agree,4,1,disagree,2,0,neutral,3,0,disagree,2,0,agree,4,1,disagree,2,0,1,NA,0.315647196,-1.335267007,-0.586843507,-0.996988573,0.514318018,-3.478013652,1.755677982,-0.581860568,-0.973033029,-0.882682813,-0.927857921,-0.549166264,-0.170474607,0.081986498
11,bennyCTA3,part2,cruel,cta3,benny,aLittle,2,quiteAbit,4,moderately,3,aLittle,2,moderately,3,moderately,3,moderately,3,0,26,26to30,maintain,4,0,0,0,0,neutral,3,0,neutral,3,0,agree,4,1,agree,4,1,agree,4,1,agree,4,1,0,NA,-0.686745927,-0.362418864,0.392870702,0.722874931,0.514318018,-0.592500882,-0.569360532,-0.581860568,0.251108923,-0.254976264,-0.00193367,-0.14535289,-0.28877211,-0.384384924
12,loseAppetiteCTA3,part2,cruel,cta3,loseAppetite,slightlyNotAtAll,1,quiteAbit,4,moderately,3,moderately,3,quiteAbit,4,moderately,3,quiteAbit,4,0,24,22to25,maintain,4,0,0,0,0,neutral,3,0,neutral,3,0,neutral,3,0,neutral,3,0,neutral,3,0,neutral,3,0,0,NA,-0.686745927,-0.362418864,-0.586843507,-0.137056821,-0.421299207,-2.035257267,-0.569360532,-0.581860568,-0.362106397,-1.047767467,-0.704936932,-0.672605337,-0.640273741,-0.618719344
13,controlCTA2,part1,control,cta2,control,quiteAbit,4,slightlyNotAtAll,1,quiteAbit,4,quiteAbit,4,slightlyNotAtAll,1,slightlyNotAtAll,1,slightlyNotAtAll,1,1,41,41to45,maintain,4,0,0,0,0,neutral,3,0,neutral,3,0,agree,4,1,disagree,2,0,disagree,2,0,agree,4,1,1,NA,-0.686745927,-0.362418864,0.392870702,-0.996988573,-1.356916432,-0.592500882,1.755677982,-0.581860568,-0.322178911,-0.87872108,-0.600449996,-0.30361032,-0.006770644,0.191122473
